file,condition,mean,std,min,max,n_turns
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,baseline,0.6022622473537922,0.1399269822835057,0.2787618935108185,0.7406495809555054,8
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,baseline,0.59598333761096,0.13045789212081607,0.285112589597702,0.7190850377082825,8
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,baseline,0.561044480651617,0.13821913380100556,0.2930203676223755,0.7030900120735168,8
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,baseline,0.5563675537705421,0.12371567794052125,0.2926802635192871,0.6647010445594788,8
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,baseline,0.579122219234705,0.12572807231297156,0.27362874150276184,0.699252188205719,8
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,baseline,0.5766523685306311,0.15329081720513188,0.22746573388576508,0.7210272550582886,8
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,baseline,0.5893783383071423,0.14148537828816607,0.2989908754825592,0.7701685428619385,8
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,baseline,0.5573627650737762,0.1433592872333317,0.26160937547683716,0.7323987483978271,8
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,baseline,0.5607967972755432,0.12884454899444928,0.28885650634765625,0.6736945509910583,8
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,baseline,0.5326856821775436,0.12692686694847663,0.2656424939632416,0.6668925881385803,8
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,baseline,0.5953024253249168,0.13048511951567007,0.2913784980773926,0.724044919013977,8
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,baseline,0.6285726055502892,0.10252567332531883,0.44068020582199097,0.7620312571525574,8
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,baseline,0.6348944455385208,0.09508178702449531,0.41152793169021606,0.7152524590492249,8
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,baseline,0.6141244545578957,0.12678709664248605,0.4030032455921173,0.7896423935890198,8
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,baseline,0.6698379367589951,0.08245316023272174,0.5398997068405151,0.7808542251586914,8
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,baseline,0.6881307996809483,0.09915215919061801,0.4914063513278961,0.8375069499015808,8
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,baseline,0.6291130371391773,0.10924541258215864,0.42014870047569275,0.7359744310379028,8
