file,mode,condition,dialogrpt
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,script,scaffold,0.44910861551761627
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,script,scaffold,0.44051768258213997
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,script,scaffold,0.4607572965323925
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,script,scaffold,0.46084412932395935
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,script,scaffold,0.44938910380005836
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,script,scaffold,0.44381314516067505
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,script,scaffold,0.4468902125954628
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,script,scaffold,0.45466893911361694
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,script,scaffold,0.4381648190319538
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,script,scaffold,0.46034765243530273
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,script,scaffold,0.4547536298632622
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,script,scaffold,0.44138530641794205
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,script,scaffold,0.4519216939806938
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,script,scaffold,0.4650668203830719
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,script,scaffold,0.45066288858652115
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,script,scaffold,0.46304821968078613
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,script,scaffold,0.4502597823739052
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,script,scaffold,0.46313367038965225
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,script,scaffold,0.44308261200785637
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,script,scaffold,0.4824603199958801
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,script,scaffold,0.45059829524585177
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,script,scaffold,0.4627096288734012
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,script,scaffold,0.45374011331134373
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,script,scaffold,0.4562323306288038
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,script,scaffold,0.4432763457298279
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,script,scaffold,0.4585949592292309
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,script,scaffold,0.45029664412140846
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,script,scaffold,0.45598384365439415
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,script,scaffold,0.45713741704821587
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,script,scaffold,0.4585556462407112
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,script,scaffold,0.4559950828552246
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,script,scaffold,0.46369577944278717
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,script,scaffold,0.447768971323967
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,script,scaffold,0.4804316274821758
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,script,scaffold,0.44196005910634995
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,script,scaffold,0.4562753472063277
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,script,scaffold,0.4509252943098545
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,script,scaffold,0.4723257012665272
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,script,scaffold,0.4451230838894844
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,script,scaffold,0.4539633207023144
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,script,scaffold,0.46285921335220337
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,free,baseline,0.4867155172608115
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,free,baseline,0.4795163333415985
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,free,baseline,0.49420873324076336
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,free,baseline,0.48509074151515963
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,free,baseline,0.4876911580562592
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,free,baseline,0.5067783859041002
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,free,baseline,0.484164759516716
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,free,baseline,0.4823560774326324
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,free,baseline,0.48938785791397094
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,free,baseline,0.4796165436506271
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,free,baseline,0.48122015843788785
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,free,baseline,0.48150064796209335
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,free,baseline,0.48784937858581545
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,free,baseline,0.48253062963485716
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,free,baseline,0.4865458756685257
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,free,baseline,0.48061516880989075
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,free,baseline,0.4968259334564209
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,free,baseline,0.48261074125766756
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,free,scaffold,0.49305413365364076
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,free,scaffold,0.49290030598640444
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,free,scaffold,0.48181903064250947
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,free,scaffold,0.47302287485864425
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,free,scaffold,0.5047528684139252
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,free,scaffold,0.4912176728248596
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,free,scaffold,0.5039360791444778
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,free,scaffold,0.4922807758504694
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,free,scaffold,0.48423837423324584
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,free,scaffold,0.4863963154229251
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,free,scaffold,0.4886928038163619
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,free,scaffold,0.5053865437706312
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,free,scaffold,0.4833856721719106
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,free,scaffold,0.47331816554069517
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,free,scaffold,0.48272175590197247
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,free,scaffold,0.4702230448072607
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,free,scaffold,0.46967791427265515
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,free,scaffold,0.49708710776435006
